Id,HGNC approved symbol,Status of entry,HGNC ID,Alternative_names,HGNC approved name,Entrez gene ID,HGNC gene family tag,HGNC family description,Function,PMID for information on function,Target molecule,Target entity,UniProt_ID_target,PMID for information on target,Comment
26,DINOL,New,53146,DINO,damage induced long noncoding RNA,108783646,#,Long non-coding RNAs with non-systematic symbols,Modulation of protein functions,27668660,Protein,TP53,P53_HUMAN,27668660,"Forms complex with p53, thereby activates its target genes. Causes cell cycle arrest and induces DNA damage"
27,DLEU1,New,13747,"LEU1, XTP6, NCRNA00021, LINC00021, BCMS1, DLB1, BCMS",deleted in lymphocytic leukemia 1,10301,#,Long non-coding RNAs with non-systematic symbols,Chromatin remodeler recruitment,"28598010, 30098595",Protein,SMARCA1,SMCA1_HUMAN,"28598010, 30098595",DLEU1 recruits SMARCA1 at KPNA3 promoter to promote KPNA3 activation in CRC. Upregulates SMARCD1 by repression of miR‐490‐3p.
28,DNM3OS,New,41228,#,DNM3 opposite strand/antisense RNA,100628315,#,Long non-coding RNAs with non-systematic symbols,"Histone modifier recruitment, TF recruitment, miRNA sponging","33472090, 31992960, 31526393, 32463958, 31694982, 30770102","RNA, Protein","miR-126, miR-134-5p, miR-204-5p, miR-29a, miR-361, KDM6B, Snail","KDM6B_HUMAN, SNAI1_HUMAN","33472090, 31992960, 31526393, 32463958, 31694982, 30770102","Acts as a molecular sponge of miR-126, miR-134-5p, miR-204-5p, miR-29a, miR-361. Interacts with KDM6B and provides reduction of H3K27me3 which is accelerate growth and metastasis. Binds transcription factor Snail, therefore regulates invasion and migration abilities of cancer cells."
29,DRAIC,New,27082,#,"downregulated RNA in cancer, inhibitor of cell invasion and migration",145837,#,Long non-coding RNAs with non-systematic symbols,Protein binding,32351584,Protein,UCHL5,UCHL5_HUMAN,32351584,DRAIC regulates the ubiquitination level of NFRKB by interaction with UCHL5.
30,DSCAM-AS1,New,40197,M41,DSCAM antisense RNA 1,100506492,#,Antisense RNAs,,32503257,,,,32503257,
31,ecCEBPA,New,#,ecCEBPA,#,,#,#,"Histone modifier recruitment, DNA modifier recruitment, Modulation of protein functions","28086087, 24107992",Protein,"CREBBP, EP300, DNMT1","CBP_HUMAN, EP300_HUMAN, DNMT1_HUMAN","28086087, 24107992","Inhibits DNMT1, stimulates acetyltransferase activity of CBP, promotes H3K27ac histone marks, thereby causes gene activation."
32,EMX2OS,New,18511,"NCRNA00045, EMX2-AS1",EMX2 opposite strand/antisense RNA,196047,#,Long non-coding RNAs with non-systematic symbols,"Protein binding, miRNA sponging","32801740, 32273754","RNA, Protein","miR-654, Fus",FUS_HUMAN,"32801740, 32273754",Directly binds to miR-654 and suppresses its expression. Binds FUS protein and had a synergy effect with FUS protein on cGMP-PKG-mediated cell functions
33,FAS-AS1,New,37128,"FASAS, FAS-AS, SAF",FAS antisense RNA 1,100302740,#,Antisense RNAs,"Splicing factor recruitment, RNA binding",26885613,"RNA, Protein","pre-mRNA FAS, SPF45",SPF45_HUMAN,26885613,Provides exon 6 skipping by forming RNA-RNA duplex with the target pre-mRNA FAS and recruiting SPF45
34,FGD5-AS1,New,40410,#,FGD5 antisense RNA 1,100505641,#,Antisense RNAs,miRNA sponging,"34221989, 31332696, 31919528",RNA,"miR-497-5p, miR-302e, hsa-miR-107",#,"34221989, 31332696, 31919528","Acts as molecular sponge of miR-497-5p, miR-302e, hsa-miR-107 (up-regulate FGFRL1). Regulates cell prolifiration and migration. As ceRNA inhibiting CDCA7 degradation"
,FIRRE,New,49627,LINC01200,firre intergenic repeating RNA element,286467,#,Long non-coding RNAs with non-systematic symbols,"Histone modifier recruitment, Chromatin looping","29685978, 25887447",Protein,"hnRNPU, CTCF","CTCF_HUMAN, HNRPU_HUMAN","29685978, 25887447","Histone modifier recruitment, Chromatin looping"
36,FOXD3-AS1,New,40241,"pasFOXD3, FAST",FOXD3 antisense RNA 1,100996301,#,Antisense RNAs,Protein sequestration,32259487,Protein,β-TrCP,FBW1A_HUMAN,32259487,"Interacts with β-TrCP to prevent β-catenin degradation, activates WNT signaling"
37,GNAS-AS1,New,24872,"SANG, NESP-AS, NESPAS, GNAS1AS, NCRNA00075, GNASAS, GNAS-AS",GNAS antisense RNA 1,149775,#,Antisense RNAs,"miRNA sponging, RNA binding","33212147, 28805067",RNA,"mirR-615-3p, miR-4319, miR-291a-3p, miR-196a-5p, miR-23a-3p, miR-24-3p, miR-let-7a-5p, mRNA",#,"33212147, 28805067","Acts as molecular sponge of mirR-615-3p, miR-4319, miR-291a-3p, miR-196a-5p, miR-23a-3p, miR-24-3p and miR-let-7a-5p and involved in osteoartritis pathogenesis. Regulate expression of genes involved in peroxisomal activities via mRNA binding."
38,HAND2-AS1,New,48872,"DEIN, NBLA00301, FLJ11539",HAND2 antisense RNA 1,79804,#,Antisense RNAs,Chromatin remodeler recruitment,31334575,Protein,INO80,INO80_HUMAN,31334575,"HAND2‐AS1 recruits the INO80 chromatin‐remodeling complex to the promoter of BMPR1A, thereby inducing its expression and leading to the activation of BMP signaling"
39,HELLPAR,New,43984,LINC-HELLP,HELLP associated long non-coding RNA,101101692,#,Long non-coding RNAs with non-systematic symbols,Modulation of protein functions,26173455,Protein,"YBX1, PCBP1, PCBP2, RPS6, RPL7","YBOX1_HUMAN, PCBP1_HUMAN, PCBP2_HUMAN, RS6_HUMAN, RL7_HUMAN",26173455,Interacts with ribosomal and splicing complex components
40,HOTAIR,New,33510,"HOXC-AS4, HOXC11-AS1, NCRNA00072",HOX transcript antisense RNA,100124700,#,Long non-coding RNAs with non-systematic symbols,Histone modifier recruitment,"29685978, 31901481",Protein,EZH2,EZH2_HUMAN,"29685978, 31901481","Recruits EZH2 to silence E-Cadherin expression, thereby promoting cell migration and invasion. Represses tumor suppressor gene expression by hypermethylation of its CpG island."
41,HOTTIP,New,37461,"NCRNA00213, HOXA-AS6, RP1-170O19.3, HOXA13-AS1",HOXA distal transcript antisense RNA,100316868,#,Long non-coding RNAs with non-systematic symbols,Histone modifier recruitment,"29685978, 21423168, 31786140",Protein,"WDR5, KMT2A","WDR5_HUMAN, KMT2A_HUMAN","29685978, 21423168, 31786140","Activates HOXA genes via binding the adaptor protein WDR5 directly and targets WDR5/MLL 
complexes across HOXA, driving histone H3 lysine 4 trimethylation and 
gene transcription."
42,HPSE eRNA,New,#,#,#,#,#,#,Chromatin looping,29511351,Protein,hnRNPU,HNRPU_HUMAN,29511351,Binds looping factor hnRNPU and facilitating chromatin looping between super enhancer and HPSE promoter.
43,IL-7-AS,New,#,IL-7-AS,#,#,#,#,Histone modifier recruitment,31383742,"DNA, Protein",p300,EP300_HUMAN,31383742,"IL-7-AS regulates H3K9Ac and H3K14Ac at gene promoters and modulates the expression of several inflammatory genes by recruiting the histone acetyltransferase p300. Thereby,  facilitates the recruitment of the SWI/SNF complex."
44,JPX,New,37191,"NCRNA00183, ENOX, LINC00183, DCBALD06","JPX transcript, XIST activator",554203,#,Long non-coding RNAs with non-systematic symbols,"Modulation of protein functions, miRNA sponging","23791181, 31253987, 30091314, 34856126","RNA, Protein","CTCF, miR-145-5p, miR-155-5p",CTCF_HUMAN,"23791181, 31253987, 30091314","Jpx bind CTCF and regulates its anchor site selection therefore controlling formation of chromosome loops. Jpx activates Xist by evicting CTCF from one Xist allele.


    
  "
45,KDM2B-DT,New,53287,#,KDM2B divergent transcript,101928346,#,Divergent transcripts,"Chromatin remodeler recruitment, Protein sequestration","30865882, 26590717",Protein,"SRCAP, SATB1, CTCF","SRCAP_HUMAN, SATB1_HUMAN, CTCF_HUMAN","30865882, 26590717",KDM2B-DT activates Zbtb3 and Zfp292 by promoting the assembly and ATPase activity of SRCAP and NURF complexes.
46,Khps1,New,#,Khps1,#,#,#,#,Histone modifier recruitment,26590717,"DNA, Protein","EP300, CREBBP","EP300_HUMAN, CBP_HUMAN",26590717,"Khps1 recruitis the HAT p300/CBP to the SPHK1 promoter, therefore ensures E2F1 binding and enhances transcription."
47,LASTR,New,54143,LINC02657,lncRNA associated with SART3 regulation of splicing,105376382,#,Long non-coding RNAs with non-systematic symbols,Modulation of protein functions,31956895,Protein,SART3,SART3_HUMAN,31956895,Promotes splicing efficiency by interacting with SART3
48,LCTS5,New,#,LCTS5,#,#,#,#,Modulation of protein functions,32305524,Protein,INO80,INO80_HUMAN,32305524,LCTS5 inhibits INO80 and transcription of INO80 mediated lung cancer-associated genes. 
49,Linc-YY1,New,#,Linc-YY1,#,#,#,#,Protein sequestration,"26658965, 30662806",Protein,YY1,TYY1_HUMAN,"26658965, 30662806","Linc-YY1 interacts with YY1 through its middle domain, to evict YY1/Polycomb repressive complex (PRC2) from target promoters, thus activating the gene expression in trans."
50,LINC00163,New,33165,"C21orf134, NCRNA00163, NLC1-A, NLC1A",long intergenic non-protein coding RNA 163,727699,LINC,Long intergenic non-protein coding RNAs,Chromatin remodeler recruitment,31646568,"DNA, Protein",ARID1A,ARI1A_HUMAN,31646568,"LINC00163 is enriched on the TCF21 promoter and recruits ARID1A to it, thereby increases TCF21 expression."
51,LINC00511,New,43564,onco-lncRNA-12,long intergenic non-protein coding RNA 511,400619,LINC,Long intergenic non-protein coding RNAs,"Histone modifier recruitment, miRNA sponging","32368318, 32196597, 32092829,  31646568, 31417312, 31395854
","RNA, DNA, Protein","KDM1A, EZH2, miR-124-3p, miR 150-5p, miR-153-5p, miR-185-3p","KDM1A_HUMAN, EZH2_HUMAN","32368318, 32196597, 32092829,  31646568, 31417312, 31395854
","Acts as molecular sponge of miR-124-3p, miR 150-5p, miR-153-5p, miR-185-3p. In the present study, Binds KDM1A and EZH2. It inhibited expressions of p21, p57 LATS2 and KLF2 by binding to their promoter region.  Interaction with EZH2 leads to recruitment PRC2 to mediate histone DNA Methylation, contributing to the G1/S transition to sustain cell proliferation. Maintaines the stability of Snail by impeding its ubiquitination and degradation by the BTRC E3 ubiquitin protein."
52,LINC00668,New,44328,#,long intergenic non-protein coding RNA 668,400643,LINC,Long intergenic non-protein coding RNAs,miRNA sponging,32249890,RNA,miR-532-5p,#,32249890,"LncRNA LINC00668 promotes cell proliferation, migration, invasion ability and EMT process in hepatocellular carcinoma by targeting miR-532-5p/YY1 axis"
53,LINC00702,New,44676,#,long intergenic non-protein coding RNA 702,100652988,LINC,Long intergenic non-protein coding RNAs,"Histone modifier recruitment, miRNA sponging","30849635, 30840927","RNA, Protein","EZH2, miR-4652-3p",EZH2_HUMAN,"30849635, 30840927",Interacts with EZH2 to inhibit the transcription of KLF2. May act as a ceRNA for miR-510. Acts as molecular sponge of miR-4652-3p to upregulate ZEB1.
54,LINC00862,New,21901,"C1orf98, SMIM16",long intergenic non-protein coding RNA 862,554279,LINC,Long intergenic non-protein coding RNAs,#,#,#,#,#,#,#
55,LINC00899,New,48583,#,long intergenic non-protein coding RNA 899,100271722,#,Long non-coding RNAs with non-systematic symbols,miRNA sponging,32157707,RNA,miR-744-3p,#,32157707,LINC00899 modulated AML cell proliferation and apoptosis via miR-744-3p/YY1 axis.
56,LINC00963,New,48716,MetaLnc9,long intergenic non-protein coding RNA 963,100506190,LINC,Long intergenic non-protein coding RNAs,miRNA sponging,"32554858, 31477326, 32494199",RNA,"miR-542-3p, miR-1193, miR-766-3p",#,"32554858, 31477326, 32494199","Acts as a molecular sponge of miR-542-3p, miR-1193, miR-766-3p"
57,LINC00968,New,48727,#,long intergenic non-protein coding RNA 968,100507632,LINC,Long intergenic non-protein coding RNAs,"Histone modifier recruitment, miRNA sponging","30485507, 30197001, 30791958, 33147570, 33065511, 33159015, 31213129","RNA, Protein","EZH2, HEY1, hsa-miR-423-5p, miR-3658, miR-21-5p","EZH2_HUMAN, HEY1_HUMAN","30485507, 30197001, 30791958, 33147570, 33065511, 33159015, 31213129","Recruits EZH2  to inhibit p21 expression via binding EZH2 and H3K27me3 of p21 promoter. Inhibits Wnt2/β-catenin signaling pathway via recruitment of HEY1 and silencing Wnt2. Inhibits miR-9-3p expression in an endothelial cell and promotes their proliferation and migration. Acts as molecular sponge of hsa-miR-423-5p, miR-3658, miR-21-5p."
58,LINC01133,New,49447,lncRNA-PAGBC,long intergenic non-protein coding RNA 1133,100505633,LINC,Long intergenic non-protein coding RNAs,Protein sequestration,27443606,Protein,SRSF6,SRSF6_HUMAN,27443606,Provides titration of SRSF6 splicing factor from its target genes
59,LINC01410,New,50702,#,long intergenic non-protein coding RNA 1410,103352539,LINC,Long intergenic non-protein coding RNAs,miRNA sponging,32314193,RNA,miR-23c,#,32314193,LINC01410 functions as a ceRNA for miR-23c to upregulate CHD7  and therefore promotes endometrial cancer progression.
60,LINC01503,New,51184,"lnc-PPP2R4-5, RP11-65J3.1",long intergenic non-protein coding RNA 1503,100506119,LINC,Long intergenic non-protein coding RNAs,#,#,#,#,#,#,#
61,lincRNA-Cox2,New,#,lincRNA-Cox2,#,#,#,#,Chromatin remodeler recruitment,26880762,"DNA, Protein",MyBBP1A,MBB1A_HUMAN,26880762,"Presumably, lincRNA-Cox2 is involved in the recruitment of the SWI/SNF complex to the late-primary genes in macrophages in response to LPS stimulation, more likely functioning as a scaffold molecule for the assembly of various SWI/SNF components. Directly interacts with MyBBP1A remodeller cofactor."
62,Lnc-Spry1,New,#,Lnc-Spry1,#,#,#,#,Splicing factor recruitment,28186499,Protein,U2AF65,U2AF2_HUMAN,28186499,Interacts with U2AF65 and regulates splicing
63,lncAKHE,New,#,lncAKHE,#,#,#,#,Modulation of protein functions,29706630,Protein,"EP400, TRRAP, YETS4","YETS4_HUMAN, TRRAP_HUMAN, EP400_HUMAN",29706630,LncAKHE interacts with YEATS4 from the histone acetylation p400-TRRAP complex results in activation of NOTCH2 signaling in hepatocellular carcinomas
64,LNCBRM,New,52752,"LINCR-0003, lncBRM",ncRNA SMARCA2 (BRM) associated,100996645,#,Antisense RNAs,Modulation of protein functions,27905400,Protein,SMARCA2,SMCA2_HUMAN,27905400,LncBRM associates with BRM to initiate the BRG1/BRM switch.
65,LNCPRESS1,New,52746,#,lncRNA p53 regulated and ESC associated 1,101927721,#,Long non-coding RNAs with non-systematic symbols,Protein sequestration,27912097,Protein,SIRT6,SIR6_HUMAN,27912097,Disrupt SIRT6 mediated de-acetylation of H3K56 and regulates ESC differentiation by safeguard pluripotency
66,LUCAT1,New,48498,"SCAL1, SCAT5",lung cancer associated transcript 1,100505994,#,Long non-coding RNAs with non-systematic symbols,#,31591432,#,#,#,31591432,LUCAT1 is proposed to be related with PTC progression through LUCAT1/CDK1/EZH2/P57/P21/HDAC1/DNMT1/P53/BAX axis
67,MAGI2-AS3,New,40862,ENST00000414797,MAGI2 antisense RNA 3,100505881,#,Antisense RNAs,"Histone modifier recruitment, miRNA sponging","33231563, 32138716, 32681706, 31709544, 31910343, 31837602, 30883342, 31629962","RNA, Protein","miR-31-5p, miR-25, miR-525-5p, miR-3163, miR-155, miR-141/200a, miR-374a, KDM1A",KDM1A_HUMAN,"33231563, 32138716, 32681706, 31709544, 31910343, 31837602, 30883342, 31629962","Acts as molecular sponge of miR-31-5p, miR-25, miR-525-5p, miR-3163, miR-155, miR-141/200a, miR-374a. MAGI2-AS3 plays an important role as a tumour suppressor by targeting Fas and FasL signalling. lncRNA MAGI2‑AS3 promotes expression of Fas and FasL in breast cancer cells. Recruits KDM1A to  H3K4me2 deDNA Methylation at the RACGAP1 promoter, which ultimately decreased the expression of RACGAP1."
68,MALAT1,New,29665,"PRO1073, MALAT-1, NCRNA00047, HCN, NEAT2, LINC00047, mascRNA",metastasis associated lung adenocarcinoma transcript 1,378938,#,Long non-coding RNAs with non-systematic symbols,Histone modifier recruitment,"29685978, 28412742","RNA, Protein","SC35, SR proteins, U1 snRNA, NEAT1, EZH2, SUZ12",EZH2_HUMAN,"29685978, 28412742","Modulates SR protein phosphorylation in nuclear speckles. Binds EZH2 and SUZ12, which induce H3K27me3. "
69,SMANTIS,New,#,"NONHSAG028084.2, HSALNG0015754, Lnc-AAK1-2, MANTIS",#,107985770,#,#,"Chromatin remodeler recruitment, Modulation of protein functions","31222221, 28351900","DNA, Protein",SMARCA4,SMCA4_HUMAN,"31222221, 28351900","MANTIS binds DNA at the promoters of angiogenenic genes, thereby regulates angiogenesis. Directly interacts with BRG1, and increases its ATPase activity. Regulates SOX18, SMAD6, and COUP-TFII, ICAM-1 expression"
70,MAPKAPK5-AS1,New,24091,FLJ39616,MAPKAPK5 antisense RNA 1,51275,#,Antisense RNAs,miRNA sponging,"32690100, 33272009",RNA,miR-519e-5p. let-7f-1-3p,#,"32690100, 33272009","Acts as molecular sponge of miR-519e-5p. let-7f-1-3p, Up-regulates p21 and increase proliferation."
71,MATN1-AS1,New,40364,#,MATN1 antisense RNA 1,100129196,#,Antisense RNAs,miRNA sponging,31667976,RNA,miR-200b/c/429,#,31667976,MATN1-AS1 functions as a ceRNA for miR-200b/c/429 to upregulate CHD1
72,MEG3,New,14575,"GTL2, NCRNA00023, LINC00023, onco-lncRNA-83",maternally expressed 3,55384,#,Long non-coding RNAs with non-systematic symbols,"Histone modifier recruitment, Splicing factor recruitment, TF recruitment, miRNA sponging, DNA modifier recruitment","30793226, 30887511, 31863691, 31328388,  29024030, 33284093, 31790140, 32420340, 30476192, 33180644","DNA, RNA, Protein","PTBP3, EZH2, DNMT1, KLF4, miR-421 miR-135, miR-147, miR-6088, miR-223","PTBP3_HUMAN, EZH2_HUMAN, DNMT1_HUMAN, KLF4_HUMAN","30793226, 30887511, 31863691, 31328388,  29024030, 33284093, 31790140, 32420340, 30476192, 33180644","Act as molecular sponge of miR-421 miR-135, miR-147, miR-6088, miR-223. Boosts the expression and maturation of miR122 which is decreased PKM2 levels and therefore suppressed expression of cyclin D1 and C-Myc. Negatively regulates miR-664 expression resulting in increased ADH4. GA-rich motifs able to direct MEG3 to its target genes PRC2 and H3K27me3 and regulate TGF-β pathway genes. In association with DNMT1 controls endotgelial-mesenchymal transition in diabetic retinopathy. Facilitates H3K27 trimethylation of EN2 through binding to EZH2.  Interacts with PTBP3 to regulate gene expression and endothelial function through p53 signaling. Binds KLF4 and inhibited its protein expression."
73,MIAT,New,33425,"FLJ25967, Rncr2, gomafu, NCRNA00066, LINC00066, lncRNA-MIAT",myocardial infarction associated transcript,440823,#,Long non-coding RNAs with non-systematic symbols,Modulation of protein functions,25145264,Protein,"CELF3, SF1, QKI","CELF3_HUMAN, STF1_HUMAN, QKI_HUMAN",25145264,"Controls retinal cell specification, stem cell differentiation and alternative splicing of schizophrenia-related genes by modulating activity of splicing factors."
74,MTA2TR,New,#,MTA2TR,#,#,#,#,TF recruitment,31410216,Protein,ATF3,ATF3_HUMAN,31410216,MTA2TR transcriptionally upregulates MTA2 expression by recruiting ATF3 to the MTA2 promoter.
75,MVIH,New,#,MVIH,#,#,#,#,Protein binding,28716731,Protein,ARID1A,ARI1A_HUMAN,28716731,MVIH binds ARID1A and affects CDKN1A expression.
76,NCYM NAT,New,#,NCYM NAT,#,#,#,#,RNA binding,1695323,RNA,mRNA,#,1695323,Provides intoron I retention in NMYC by forming RNA-RNA duplex with sense transcript
77,NEAT1,New,30815,"NCRNA00084, TncRNA, MENepsilon/beta, LINC00084, VINC",nuclear paraspeckle assembly transcript 1,283131,#,Long non-coding RNAs with non-systematic symbols,Histone modifier recruitment,"31006037, 31243262, 31266852, 27556296","RNA, Protein","Paraspeckle proteins, MALAT1, EP300, CREBBP, STAT3,H3, EZH2","EP300_HUMAN, CBP_HUMAN, STAT3_HUMAN, EZH2_HUMAN","31006037, 31243262, 31266852, 27556296","A scaffold lncRNA of paraspeckles. Promotes breast and skin cancer growth. Is associated with P300/CBP complex and its inhibition affects H3K27Ac and H3K27Cro located nearby to the transcription start site of many genes, including endocytosis-related genes. Mediates the binding between STAT3 and H3K27Ac. Binds EZH2 and mediates H3K27me3 enrichment at the p21 promoter. Silences miR-129-5p expression by promoting the DNA methylation of the CpG island in the miR-129 gene. "
78,NEXN-AS1,New,31983,"FLJ90637, C1orf118",NEXN antisense RNA 1,374987,#,Antisense RNAs,Chromatin remodeler recruitment,30589415,Protein,BAZ1A,BAZ1A_HUMAN,30589415,NEXN-AS1 interacts with the nuclear protein BAZ1A and reduces the level of BAZ1A to upregulate NEXN.
79,NKILA,New,51599,#,NF-kappaB interacting lncRNA,105416157,#,Long non-coding RNAs with non-systematic symbols,Modulation of protein functions,30224822,Protein,p65,TF65_HUMAN,30224822,"Interacts with the NF-κB–IκBα complex by binding to p65 and inhibitis its activity, thereby modulates T cell activation-induced cell death"
