Id;HGNC_symbol;Status;HGNC_ID;Alternative_names;HGNC_name;GeneID;GeneTag;GeneDesc;Function;PMID_function;Target;Specific_target;UniProt_ID_target;PMID_target;Comment;;;
16;NKILA;New;51599;#;NF-kappaB interacting lncRNA;105416157;#;Long non-coding RNAs with non-systematic symbols;Protein binding;30224822;Protein;p65;TF65_HUMAN;30224822;Interacts with the NF-?B–I?B? complex by binding to p65 and inhibitis its activity, thereby modulates T cell activation-induced cell death;;;
17;SAMMSON;New;49644;LINC01212;survival associated mitochondrial melanoma specific oncogenic non-coding RNA;101927152;#;Long non-coding RNAs with non-systematic symbols;Protein binding;27008969;Protein;CARF, p32;CARTF_HUMAN, C1QBP_HUMAN;27008969;Interacts with p32 and CARF to promotes mitochondrial rRNA synthesis. Promotes cell growth.;;;
18;PANDAR;New;44048;PANDA;promoter of CDKN1A antisense DNA damage activated RNA;101154753;#;Long non-coding RNAs with non-systematic symbols;Protein sequestration;21641992;Proteins;NF-YA;NFYA_HUMAN;21641992;Act as decoy of NF-YA and represses pro-apoptotic genes;;;
19;DINOL;New;53146;DINO;damage induced long noncoding RNA;108783646;#;Long non-coding RNAs with non-systematic symbols;Protein binding;27668660;Protein;p53;P53_HUMAN;27668660;Forms complex with p53, thereby activates its target genes. Causes cell cycle arrest and induces DNA damage;;;
20;DDX11-AS1;New;44176;CONCR, SCAT4;DDX11 antisense RNA 1;100506660;#;Antisense RNAs;Protein binding;27477908;Protein;DDX11;DDX11_HUMAN;27477908;Modulates abiity of DDX11 to function at DNA replication fork. Increases its ATPase activity and binding to DNA replicating regions;;;
21;PCGEM1;New;30145;NCRNA00071, LINC00071, PCAT9;PCGEM1 prostate-specific transcript;64002;#;PCGEM1 prostate-specific transcript;RNP sequestration;26848868;RNA;hnRNP A1, U2AF65;#;26848868;Mutual bond with either hnRNP A1 or U2AF65 to promote or suppress specific AR splice variants;;;
22;FAS-AS1;New;37128;FASAS, FAS-AS, SAF;FAS antisense RNA 1;100302740;#;Antisense RNAs;RNA binding;26885613;RNA, protein;pre-mRNA, FAS;TNR6_HUMAN;26885613;Provides exon 6 skipping by forming RNA-RNA duplex with the target pre-mRNA FAS and recruiting SPF45;;;
23;ZEB2-AS1;New;37149;ZEB2AS, ZEB2-AS, ZEB2NAT;ZEB2 antisense RNA 1;100303491;#;Antisense RNAs;RNA binding;18347095;RNA;mRNA;#;18347095;Provides splicing of the IRES-conteining intron of ZEB2 by RNA-RNA duplex with transcript;;;
24;MIAT;New;33425;FLJ25967, Rncr2, gomafu, NCRNA00066, LINC00066, lncRNA-MIAT;myocardial infarction associated transcript;440823;#;Long non-coding RNAs with non-systematic symbols;Protein binding;25145264;Protein;Celf3, SF1, QKI;CELF3_HUMAN, STF1_HUMAN, QKI_HUMAN;25145264;Controls retinal cell specification, stem cell differentiation and alternative splicing of schizophrenia-related genes by modulating activity of splicing factors.;;;
25;LASTR;New;54143;LINC02657;lncRNA associated with SART3 regulation of splicing;105376382;#;Long non-coding RNAs with non-systematic symbols;Protein binding;31956895;Protein;SART3;SART3_HUMAN;31956895;Promotes splicing efficiency by interacting with SART3;;;
26;HELLPAR;New;43984;LINC-HELLP;HELLP associated long non-coding RNA;101101692;#;Long non-coding RNAs with non-systematic symbols;Protein binding;26173455;Protein;YBX1, PCBP1, PCBP2, RPS6, RPL7;YBOX1_HUMAN, PCBP1_HUMAN, PCBP2_HUMAN, RS6_HUMAN, RL7_HUMAN;26173455;Interacts with ribosomal and splicing complex components;;;
27;DSCAM-AS1;New;40197;M41;DSCAM antisense RNA 1;100506492;#;Antisense RNAs;Protein binding;32503257;RNA;hnRNPL;#;32503257;Promotes exon skipping and 3? UTR usage by interaction with hnRNPL;;;
28;RMRP;New;10031;CHH;RNA component of mitochondrial RNA processing endoribonuclease;6023;#;#;miRNA sponge;30779067;miRNA;miR-206;#;30779067;Interacts with regulators of post-transcriptional mitochondrial gene expression HuR and GRSF. Acts like sponge of miR-206, improving the expression of CDK9/2 and promoting lunge and bladder cancer.;;;
29;TUG1;New;26066;FLJ20618, NCRNA00080, LINC00080;taurine up-regulated 1;55000;#;#;miRNA sponge, protein binding;29016735, 31858814, 31880241, 30925453;RNA, Protein;miR-299, miR-204-5p, miR-145, miR-132-3p, PRC2;#;29016735, 31858814, 31880241, 30925453;Acts as a molecular sponge of miR-299, miR-204-5p, miR-132-3p, miR?219a?5p and miR-145 to enhance tumor-induced angiogenesis in human glioblastoma. Up-regulated HDAC3, which reduced the acetylation of H3K9 and epigenetically inhibited expressions of anti-oxidative genes, including Bcl-xL, Prdx2, and Hsp70.Studies suggested that TUG1 can directly bind to a histone methylated transferase PRC2, therefore regulate the expressions of target genes. ;;;
30;SNHG14;New;37462;NCRNA00214, UBE3A-AS, UBE3A-ATS;;104472715;SNHG;Small nucleolar RNA non-coding host genes;miRNA sponge;30611620, 33155197, 31948764, 31471872, 31570691;RNA;miR-206, miR-655-3p, miR-433-3p, miR-32-5p, miR-5590-3p;#;30611620, 33155197, 31948764, 31471872, 31570691;Acts as molecular sponge of miR-206, miR-655-3p, miR-433-3p, miR-32-5p, miR-5590-3p ;;;
31;BLACAT1;New;48597;linc-UBC1, LINC00912, onco-lncRNA-30;BLACAT1 overlapping LEMD1 locus;101669762;#;#;miRNA sponging, Protein binding;28885863, 23688781;RNA, Protein;miR-144, PRC2;#;28885863, 23688781;Acts as molecular sponge of miR-144. Regulates expression ofgenes in trans via binding PRC2. Regulates proliferation, tumorigenicity and metastatic potential of bladder cancer cells.;;;
32;LINC00702;New;44676;#;long intergenic non-protein coding RNA 702;100652988;LINC;Long intergenic non-protein coding RNAs;miRNA sponging, Protein binding;30849635, 30840927;RNA, Protein;EZH2, miR-4652-3p;EZH2_HUMAN;30849635, 30840927;Interacts with EZH2 to inhibit the transcription of KLF2. May act as a ceRNA for miR-510. Acts as molecular sponge of miR-4652-3p to upregulate ZEB1.;;;
33;MAGI2-AS3;New;40862;ENST00000414797;MAGI2 antisense RNA 3;100505881;#;Antisense RNAs;miRNA sponging, Protein binding;33231563, 32138716, 32681706, 31709544, 31910343, 31837602, 30883342, 31629962;RNA, Protein;miR-31-5p, miR-25, miR-525-5p, miR-3163, miR-155, miR-141/200a, miR-374a, KDM1A;KDM1A_HUMAN;33231563, 32138716, 32681706, 31709544, 31910343, 31837602, 30883342, 31629962;"Acts as molecular sponge of miR-31-5p, miR-25, miR-525-5p, miR-3163, miR-155, miR-141/200a, miR-374a. MAGI2-AS3 plays an important role as a tumour suppressor by targeting Fas and FasL signalling
lncRNA MAGI2?AS3 promotes expression of Fas and FasL in breast cancer cells. Recruits KDM1A to  H3K4me2 deDNA Methylation at the RACGAP1 promoter, which ultimately decreased the expression of RACGAP1.";;;
34;LINC00968;New;48727;#;long intergenic non-protein coding RNA 968;100507632;LINC;Long intergenic non-protein coding RNAs;miRNA sponging, Protein binding;30485507, 30197001, 30791958, 33147570, 33065511, 33159015, 31213129;RNA, Protein;EZH2, HEY1, hsa-miR-423-5p, miR-3658, miR-21-5p;EZH2_HUMAN, HEY1_HUMAN;30485507, 30197001, 30791958, 33147570, 33065511, 33159015, 31213129;Recruits EZH2  to inhibit p21 expression via binding EZH2 and H3K27me3 of p21 promoter. Inhibits Wnt2/?-catenin signaling pathway via recruitment of HEY1 and silencing Wnt2. Inhibits miR-9-3p expression in an endothelial cell and promotes their proliferation and migration. Acts as molecular sponge of hsa-miR-423-5p, miR-3658, miR-21-5p.;;;
35;MEG3;New;14575;GTL2, NCRNA00023, LINC00023, onco-lncRNA-83;maternally expressed 3;55384;#;Long non-coding RNAs with non-systematic symbols;miRNA sponging, Protein binding;30793226, 30887511, 31863691, 31328388,  29024030, 33284093, 31790140, 32420340, 30476192, 33180644;RNA, DNA, Protein;PTBP3, EZH2, DNMT1, KLF4, miR-421 miR-135, miR-147, miR-6088, miR-223;PTBP3_HUMAN, EZH2_HUMAN, DNMT1_HUMAN, KLF4_HUMAN;30793226, 30887511, 31863691, 31328388,  29024030, 33284093, 31790140, 32420340, 30476192, 33180644;Act as molecular sponge of miR-421 miR-135, miR-147, miR-6088, miR-223.  Boosts the expression and maturation of miR122 which is decreased PKM2 levels and therefore suppressed expression of cyclin D1 and C-Myc. Negatively regulates miR-664 expression resulting in increased ADH4. GA-rich motifs able to direct MEG3 to its target genes PRC2 and H3K27me3 to target sites, such as TGF-? pathway genes. In association with DNMT1 controls endotgelial-mesenchymal transition in diabetic retinopathy. Facilitates H3K27 trimethylation of EN2 through binding to EZH2.  Interacts with PTBP3 to regulate gene expression and endothelial function through p53 signaling. Binds KLF4 and inhibited its protein expression.;;;
36;LINC00511;New;43564;onco-lncRNA-12;long intergenic non-protein coding RNA 511;400619;LINC;Long intergenic non-protein coding RNAs;miRNA sponging, Protein binding;"32368318, 32196597, 32092829,  31646568, 31417312, 31395854
";RNA, DNA, Protein;LSD1, EZH2, miR-124-3p, miR 150-5p, miR-153-5p, miR-185-3p;KDM1A_HUMAN, EZH2_HUMAN, ;"32368318, 32196597, 32092829,  31646568, 31417312, 31395854
";Acts as molecular sponge of miR-124-3p, miR 150-5p, miR-153-5p, miR-185-3p. In the present study, Binds LSD1 and EZH2. It inhibited iexpressions of p21, p57 LATS2 and KLF2 by binding to their promoter region.  Interaction with EZH2 leads to recruitment PRC2 to mediate histone DNA Methylation, contributing to the G1/S transition to sustain cell proliferation. Maintaines the stability of Snail by impeding its ubiquitination and degradation by the BTRC E3 ubiquitin protein.;;;
37;NR2F1-AS1;New;48622;FLJ42709;NR2F1 antisense RNA 1;441094;#;Antisense RNAs;miRNA sponging;30628890, 31304680;RNA;miR-324-3p;#;30628890, 31304680;Promotes tumorigenesis and radioresistance in breast cancer through interplay with miR-324-3p and derepression of ACK1.;;;
38;SBF2-AS1;New;27438;#;SBF2 antisense RNA 1;283104;#;Antisense RNAs;miRNA sponging;30912164, 31062614;RNA;miR-188-5p, miR-619-5p;#;30912164, 31062614;Acts as molecular sponge of miR-188-5p and miR-619-5p, therefore leads to overexpression of HDAC3. Increases H3K27m at the promoter region of P21. Increases cell prolifiration ability.;;;
39;NORAD;New;44311;LINC00657;non-coding RNA activated by DNA damage;647979;#;Long non-coding RNAs with non-systematic symbols;miRNA sponging, Protein sequestration;30468715;RNA, Protein;miR-590-3p, PUM1, PUM2;PUM1_HUMAN, PUM2_HUMAN;30468715;Acts as a molecular sponge of miR-590-3p. Binds PUM1 and PUM2, therefore regulates genome stability.;;;
40;MAPKAPK5-AS1;New;24091;FLJ39616;MAPKAPK5 antisense RNA 1;51275;#;Antisense RNAs;miRNA sponging;32690100, 33272009;RNA;miR-519e-5p. let-7f-1-3p;#;32690100, 33272009;Acts as molecular sponge of miR-519e-5p. let-7f-1-3p, Up-regulates p21 and increase proliferation.;;;
41;FGD5-AS1;New;40410;#;FGD5 antisense RNA 1;100505641;#;Antisense RNAs;miRNA sponging;34221989, 31332696, 31919528;RNA;miR-497-5p, miR-302e, hsa-miR-107;#;34221989, 31332696, 31919528;Acts as molecular sponge of miR-497-5p, miR-302e, hsa-miR-107 (up-regulate FGFRL1). Regulates cell prolifiration and migration.;;;
42;A1BG-AS1;New;37133;FLJ23569;A1BG antisense RNA 1;503538;#;Antisense RNAs;miRNA sponging;30556161, 34115333;RNA;miR-216a-5p, miR-485-5p;#;30556161, 34115333;Acts as molecular sponge of miR-216a-5p, miR-485-5p. Supresses cell prolifiration and invasion.;;;
43;DANCR;New;28964;ANCR, AGU2, lncRNA-ANCR;differentiation antagonizing non-protein coding RNA;57291;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;31383847;Protein;EZH2;EZH2_HUMAN;31383847;Binds EZH2 and promotes H3K27me3 histone modification. Regulates proliferation and migration-related genes.;;;
44;PVT1;New;9709;NCRNA00079, LINC00079, onco-lncRNA-100, MIR1204HG;Pvt1 oncogene;5820;#;Long non-coding RNAs with non-systematic symbols;miRNA sponging, Recruitment of a chromatin modifiers;28296507;RNA, Protein;EZH2, miR-195;EZH2_HUMAN;28296507;Directly interacts with EZH2 and the complex anchors in the promoter region of miR-195. Decreases miR-195 expression via enhancing H3K27me3 levels in the miR-195 promoter region and sponging of miR-195.;;;
45;XIST;New;12810;NCRNA00001, DXS1089, swd66, LINC00001;X inactive specific transcript;7503;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;29685978;Protein;PRC2, YY1, hnRNPK, SHARP;;29685978;Silences genes in inactive X chromosome;;;
46;HOTAIR;New;33510;HOXC-AS4, HOXC11-AS1, NCRNA00072;HOX transcript antisense RNA;100124700;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;29685978, 31901481;Protein;EZH2;EZH2_HUMAN;29685978, 31901481;Recruits EZH2 to silence E-Cadherin expression, thereby promoting cell migration and invasion. Represses tumor suppressor gene expression by hypermethylation of its CpG island.;;;
47;CDKN2B-AS1;New;34341;ANRIL, RP11-145E5.4, NCRNA00089, p15AS, CDKN2B-AS, PCAT12;CDKN2B antisense RNA 1;100048912;#;Antisense RNAs;Recruitment of a chromatin modifiers;29685978, 33353982;Protein;"PRC1, PRC2; YY1";TYY1_HUMAN;29685978, 33353982;Recruits Polycomb repressive complexes to promoters of CDKN2A and CDKN2B to inhibit their expression in cis and to regulate distant genes in trans;;;
48;AIRN;New;34515;AIR, NCRNA00088, IGF2RAS, IGF2R-AS1;antisense of IGF2R non-protein coding RNA;100271873;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;29685978, 18988810;DNA, Protein;PRC2, G9a;EHMT2_HUMAN;29685978, 18988810;Recruits PRC2 to distal genes Slc22a2 and Slc22a3. Recruits G9a and promotes H3K9me3 histone modification causing gene silencing.;;;
49;HOTTIP;New;37461;NCRNA00213, HOXA-AS6, RP1-170O19.3, HOXA13-AS1;HOXA distal transcript antisense RNA;100316868;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;29685978, 21423168, 31786140;Protein;WDR5, MLL;WDR5_HUMAN, KMT2A_HUMAN;29685978, 21423168, 31786140;"Activates HOXA genes via binding the adaptor protein WDR5 directly and targets WDR5/MLL 
complexes across HOXA, driving histone H3 lysine 4 trimethylation and 
gene transcription.";;;
50;NEAT1;New;30815;NCRNA00084, TncRNA, MENepsilon/beta, LINC00084, VINC;nuclear paraspeckle assembly transcript 1;283131;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;31006037, 31243262, 31266852, 27556296;RNA, Protein;Paraspeckle proteins, MALAT1, P300, CBP, STAT3,H3, EZH2;EP300_HUMAN, CBP_HUMAN, STAT3_HUMAN, EZH2_HUMAN;31006037, 31243262, 31266852, 27556296;A scaffold lncRNA of paraspeckles. Promotes breast and skin cancer growth. Is associated with P300/CBP complex and its inhibition affects H3K27Ac and H3K27Cro located nearby to the transcription start site of many genes, including endocytosis-related genes. Mediates the binding between STAT3 and H3K27Ac. Binds EZH2 and mediates H3K27me3 enrichment at the p21 promoter. Silences miR-129-5p expression by promoting the DNA methylation of the CpG island in the miR-129 gene. ;;;
51;MALAT1;New;29665;PRO1073, MALAT-1, NCRNA00047, HCN, NEAT2, LINC00047, mascRNA;metastasis associated lung adenocarcinoma transcript 1;378938;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;29685978, 28412742;RNA, Protein;SC35, SR proteins, U1 snRNA, NEAT1, EZH2, SUZ12;EZH2_HUMAN;29685978, 28412742;Modulates SR protein phosphorylation in nuclear speckles. Binds EZH2 and SUZ12, which induce H3K27me3. ;;;
52;FIRRE;New;49627;LINC01200;firre intergenic repeating RNA element;286467;#;Long non-coding RNAs with non-systematic symbols;Recruitment of a chromatin modifiers;29685978, 25887447;RNA, Protein;hnRNPU, CTCF;CTCF_HUMAN;29685978, 25887447;Anchors the inactive X chromosome to the nucleolus by binding CTCF and maintains H3K27me3 methylation. Interacts with multiple chromosomal regions in trans through hnRNPU and involved in gene regulation in trans.;;;
53;LINC00963;New;48716;MetaLnc9;long intergenic non-protein coding RNA 963;100506190;LINC;Long intergenic non-protein coding RNAs;miRNA sponging;32554858, 31477326, 32494199;RNA;miR-542-3p, miR-1193, miR-766-3p;#;32554858, 31477326, 32494199;Acts as a molecular sponge of miR-542-3p, miR-1193, miR-766-3p;;;
54;CD27-AS1;New;43896;#;CD27 antisense RNA 1;678655;#;Antisense RNAs;miRNA sponging;34006845;RNA;miR-224-5p;#;34006845;Acts as a molecular sponge of miR-224-5p;;;
55;EMX2OS;New;18511;NCRNA00045, EMX2-AS1;EMX2 opposite strand/antisense RNA;196047;#;Long non-coding RNAs with non-systematic symbols;miRNA sponging, Protein binding;32801740, 32273754;RNA, Protein;miR-654, Fus;FUS_HUMAN;32801740, 32273754;Directly binds to miR-654 and suppresses its expression. Binds FUS protein and had a synergy effect with FUS protein on cGMP-PKG-mediated cell functions;;;
56;ZNF674-AS1;New;44266;#;ZNF674 antisense RNA 1 (head to head);401588;#;Antisense RNAs;miRNA sponging, Protein binding;33993190, 33618674;Protein;ALDOA;ALDOA_HUMAN;33993190, 33618674;Promotes ALDOA binding to v-ATPase, thereby activating AMPK. Increases the expression of p21 through downregulation of miR-423-3p.;;;
57;JPX;New;37191;NCRNA00183, ENOX, LINC00183, DCBALD06;JPX transcript, XIST activator;554203;#;Long non-coding RNAs with non-systematic symbols;miRNA sponging, Protein binding;23791181, 31253987, 30091314;RNA;155-5p, 145-5p, CCND2 mRNA, CTCF;CCND2_HUMAN, CTCF_HUMAN;23791181, 31253987, 30091314;Binds CTCF and extricates CTCF from one Xist allele, therefore activates Xist. Promotes cell proliferation, cell cycle progression and migration by upregulating CCND2 expression in a ceRNA mechanism by interacting with miR-145-5p. Acts as molecular sponge of miR-155-5p.;;;
58;SMARCA5-AS1;New;39982;#;SMARCA5 antisense RNA 1;100128055;#;Antisense RNAs;Protein binding;29415469;Protein;SRSF1;SRSF1_HUMAN;29415469;Interacts with SRSF1 and promotion of the anti-angiogenic splicing isoforms of VEGF-A;;;
59;TMCC1-DT;New;49060;TMCC1-AS1;TMCC1 divergent transcript;100507032;#;Divergent transcripts;#;#;#;#;;#;#;;;
60;BOLA3-DT;New;42922;BOLA3-AS1;BOLA3 divergent transcript;100507171;#;Divergent transcripts;#;#;#;#;;#;#;;;
61;RAB30-DT;New;48672;RAB30-AS1;RAB30 divergent transcript;100506233;#;Divergent transcripts;#;#;#;#;;#;#;;;
62;LINC00862;New;21901;C1orf98, SMIM16;long intergenic non-protein coding RNA 862;554279;LINC;Long intergenic non-protein coding RNAs;#;#;#;#;;#;#;;;
63;LINC01503;New;51184;lnc-PPP2R4-5, RP11-65J3.1;long intergenic non-protein coding RNA 1503;100506119;LINC;Long intergenic non-protein coding RNAs;#;#;#;#;;#;#;;;
64;SERTAD4-AS1;New;32019;C1orf133;SERTAD4 antisense RNA 1;574036;#;Antisense RNAs;#;#;#;#;;#;#;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
